servidor;timestamp;cpu_porcentagem;cpu_ociosa_porcentagem;cpu_usuarios_porcentagem;cpu_sistema_porcentagem;cpu_loadavg;ram_porcentagem;ram_mb;ram_gb;ram_disp_porcentagem;ram_disp_mb;ram_disp_gb;ram_swap_porcentagem;ram_swap_mb;ram_swap_gb;disco_porcentagem;disco_mb;disco_gb;disco_livre_porcentagem;disco_livre_mb;disco_livre_gb;disco_throughput_mbs;disco_throughput_gbs
bucketraw-py;2025-10-19 15:56:25;51.0;49.0;49.0;1.0;(5.99169921875, 2.02001953125, 0.72119140625);58.9;2259.79;2.21;41.1;1577.18;1.54;0.0;0.0;0.0;28.5;5346.5;5.22;71.43;13408.25;13.09;0.38;0.0
bucketraw-py;2025-10-19 15:56:42;50.0;50.0;50.0;0.0;(6.18994140625, 2.263671875, 0.82275390625);61.2;2349.09;2.29;38.78;1487.88;1.45;0.0;0.0;0.0;28.5;5346.85;5.22;71.43;13407.9;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:56:58;51.0;49.0;49.0;0.0;(6.0244140625, 2.48876953125, 0.92822265625);62.8;2410.92;2.35;37.17;1426.06;1.39;0.0;0.0;0.0;28.5;5347.0;5.22;71.43;13407.75;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:57:15;2.0;98.0;1.0;1.0;(5.18701171875, 2.48095703125, 0.95068359375);62.4;2395.25;2.34;37.57;1441.73;1.41;0.0;0.0;0.0;28.5;5347.24;5.22;71.43;13407.51;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:57:27;1.0;99.0;0.0;0.0;(4.53662109375, 2.43115234375, 0.951171875);62.6;2403.84;2.35;37.35;1433.13;1.4;0.0;0.0;0.0;28.5;5347.32;5.22;71.43;13407.43;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:57:40;1.0;99.0;1.0;0.0;(3.61083984375, 2.328125, 0.94091796875);62.4;2394.19;2.34;37.6;1442.79;1.41;0.0;0.0;0.0;28.5;5347.39;5.22;71.43;13407.36;13.09;0.43;0.0
bucketraw-py;2025-10-19 15:57:52;1.0;99.0;0.0;0.0;(3.20263671875, 2.28369140625, 0.94140625);62.9;2412.67;2.36;37.12;1424.31;1.39;0.0;0.0;0.0;28.5;5347.42;5.22;71.43;13407.33;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:58:05;1.0;99.0;0.0;0.0;(2.4921875, 2.1708984375, 0.92529296875);62.6;2403.02;2.35;37.37;1433.95;1.4;0.0;0.0;0.0;28.5;5347.49;5.22;71.43;13407.26;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:58:17;1.0;99.0;0.0;0.0;(2.18212890625, 2.115234375, 0.92041015625);63.2;2423.94;2.37;36.83;1413.04;1.38;0.0;0.0;0.0;28.5;5347.56;5.22;71.43;13407.19;13.09;0.02;0.0
bucketraw-py;2025-10-19 15:58:30;2.0;98.0;1.0;0.0;(1.77197265625, 2.02734375, 0.91015625);62.7;2406.36;2.35;37.28;1430.61;1.4;0.0;0.0;0.0;28.5;5347.63;5.22;71.43;13407.12;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:58:42;1.0;99.0;0.0;0.0;(1.86767578125, 2.04248046875, 0.9267578125);62.8;2409.0;2.35;37.22;1427.98;1.39;0.0;0.0;0.0;28.5;5347.69;5.22;71.43;13407.06;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:58:55;1.0;99.0;0.0;0.0;(1.5888671875, 1.9736328125, 0.921875);62.8;2410.68;2.35;37.17;1426.29;1.39;0.0;0.0;0.0;28.5;5347.75;5.22;71.42;13407.0;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:59:07;1.0;99.0;0.0;0.0;(1.34423828125, 1.908203125, 0.9111328125);62.9;2413.26;2.36;37.11;1423.72;1.39;0.0;0.0;0.0;28.5;5347.82;5.22;71.42;13406.93;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:59:20;1.0;99.0;0.0;0.0;(1.181640625, 1.84716796875, 0.90625);63.0;2417.77;2.36;36.99;1419.21;1.39;0.0;0.0;0.0;28.5;5347.89;5.22;71.42;13406.86;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:59:32;1.0;99.0;1.0;0.0;(0.99951171875, 1.7861328125, 0.896484375);63.0;2418.03;2.36;36.98;1418.95;1.39;0.0;0.0;0.0;28.5;5347.97;5.22;71.42;13406.78;13.09;0.02;0.0
bucketraw-py;2025-10-19 15:59:44;1.0;99.0;0.0;1.0;(0.84619140625, 1.7138671875, 0.8876953125);62.9;2412.33;2.36;37.13;1424.64;1.39;0.0;0.0;0.0;28.5;5348.04;5.22;71.42;13406.71;13.09;0.0;0.0
bucketraw-py;2025-10-19 15:59:57;1.0;99.0;0.0;1.0;(0.7158203125, 1.65673828125, 0.8779296875);62.9;2413.63;2.36;37.1;1423.34;1.39;0.0;0.0;0.0;28.5;5348.11;5.22;71.42;13406.64;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:00:11;1.0;99.0;0.0;0.0;(0.556640625, 1.57470703125, 0.86328125);62.7;2406.53;2.35;37.28;1430.45;1.4;0.0;0.0;0.0;28.5;5348.18;5.22;71.42;13406.57;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:00:23;1.0;99.0;0.0;0.0;(0.470703125, 1.5224609375, 0.853515625);63.1;2421.02;2.36;36.9;1415.95;1.38;0.0;0.0;0.0;28.5;5348.25;5.22;71.42;13406.5;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:00:36;1.0;99.0;0.0;0.0;(0.36572265625, 1.447265625, 0.8388671875);62.9;2414.83;2.36;37.06;1422.15;1.39;0.0;0.0;0.0;28.5;5348.32;5.22;71.42;13406.43;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:00:48;1.0;99.0;0.0;0.0;(0.38330078125, 1.41552734375, 0.8349609375);63.2;2426.86;2.37;36.75;1410.12;1.38;0.0;0.0;0.0;28.5;5348.39;5.22;71.42;13406.36;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:01:01;1.0;99.0;0.0;0.0;(0.2978515625, 1.34521484375, 0.8203125);63.0;2417.75;2.36;36.99;1419.22;1.39;0.0;0.0;0.0;28.5;5348.46;5.22;71.42;13406.29;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:01:14;1.0;99.0;0.0;0.0;(0.29931640625, 1.294921875, 0.81201171875);63.0;2416.0;2.36;37.03;1420.97;1.39;0.0;0.0;0.0;28.5;5348.54;5.22;71.42;13406.21;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:01:26;0.0;100.0;0.0;0.0;(0.25244140625, 1.25146484375, 0.80322265625);63.2;2423.76;2.37;36.83;1413.21;1.38;0.0;0.0;0.0;28.5;5348.61;5.22;71.42;13406.14;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:01:38;2.0;98.0;0.0;1.0;(0.212890625, 1.2099609375, 0.79443359375);63.0;2417.24;2.36;37.0;1419.73;1.39;0.0;0.0;0.0;28.5;5348.68;5.22;71.42;13406.07;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:01:51;1.0;99.0;0.0;0.0;(0.1650390625, 1.14990234375, 0.78125);63.1;2420.64;2.36;36.91;1416.33;1.38;0.0;0.0;0.0;28.5;5348.75;5.22;71.42;13406.0;13.09;0.05;0.0
bucketraw-py;2025-10-19 16:02:03;1.0;99.0;0.0;0.0;(0.13916015625, 1.111328125, 0.7724609375);63.2;2423.55;2.37;36.84;1413.42;1.38;0.0;0.0;0.0;28.5;5348.81;5.22;71.42;13405.94;13.09;0.02;0.0
bucketraw-py;2025-10-19 16:02:15;1.0;99.0;0.0;0.0;(0.17578125, 1.072265625, 0.76513671875);63.6;2438.65;2.38;36.44;1398.32;1.37;0.0;0.0;0.0;28.5;5348.88;5.22;71.42;13405.87;13.09;0.08;0.0
bucketraw-py;2025-10-19 16:02:28;1.0;99.0;0.0;0.0;(0.1484375, 1.03662109375, 0.75634765625);63.9;2452.86;2.4;36.07;1384.11;1.35;0.0;0.0;0.0;28.5;5348.95;5.22;71.42;13405.8;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:02:40;1.0;99.0;0.0;0.0;(0.40966796875, 1.05078125, 0.76513671875);63.8;2448.76;2.39;36.18;1388.22;1.36;0.0;0.0;0.0;28.5;5349.02;5.22;71.42;13405.73;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:02:53;1.0;99.0;0.0;1.0;(0.49365234375, 1.048828125, 0.767578125);64.5;2474.75;2.42;35.5;1362.23;1.33;0.0;0.0;0.0;28.5;5349.09;5.22;71.42;13405.66;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:03:05;1.0;99.0;0.0;0.0;(0.3837890625, 0.99658203125, 0.75439453125);64.5;2473.88;2.42;35.53;1363.1;1.33;0.0;0.0;0.0;28.5;5349.16;5.22;71.42;13405.59;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:03:17;2.0;98.0;0.0;1.0;(0.3984375, 0.98046875, 0.75146484375);64.3;2467.78;2.41;35.68;1369.2;1.34;0.0;0.0;0.0;28.5;5349.23;5.22;71.42;13405.52;13.09;0.02;0.0
bucketraw-py;2025-10-19 16:03:30;1.0;99.0;0.0;0.0;(0.51318359375, 0.98046875, 0.7548828125);64.7;2481.58;2.42;35.32;1355.4;1.32;0.0;0.0;0.0;28.5;5349.29;5.22;71.42;13405.46;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:03:42;1.0;99.0;0.0;0.0;(0.43359375, 0.94775390625, 0.74609375);64.7;2483.85;2.43;35.27;1353.13;1.32;0.0;0.0;0.0;28.5;5349.36;5.22;71.42;13405.39;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:03:55;1.0;99.0;1.0;0.0;(0.47265625, 0.93310546875, 0.744140625);64.7;2483.9;2.43;35.26;1353.08;1.32;0.0;0.0;0.0;28.5;5349.43;5.22;71.42;13405.32;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:04:07;1.0;99.0;0.0;1.0;(0.3994140625, 0.90185546875, 0.7353515625);64.9;2489.27;2.43;35.12;1347.71;1.32;0.0;0.0;0.0;28.5;5349.5;5.22;71.42;13405.25;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:04:19;1.0;99.0;0.0;0.0;(0.37841796875, 0.87353515625, 0.72802734375);64.9;2490.11;2.43;35.1;1346.87;1.32;0.0;0.0;0.0;28.5;5349.57;5.22;71.42;13405.18;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:04:32;1.0;99.0;0.0;0.0;(0.3193359375, 0.84423828125, 0.7197265625);65.0;2493.94;2.44;35.0;1343.04;1.31;0.0;0.0;0.0;28.5;5349.64;5.22;71.41;13405.11;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:04:44;1.0;99.0;0.0;0.0;(0.32177734375, 0.81884765625, 0.7138671875);64.3;2467.69;2.41;35.69;1369.29;1.34;0.0;0.0;0.0;28.5;5349.7;5.22;71.41;13405.05;13.09;0.08;0.0
bucketraw-py;2025-10-19 16:04:56;1.0;99.0;0.0;0.0;(0.27197265625, 0.79150390625, 0.7060546875);64.3;2465.46;2.41;35.74;1371.52;1.34;0.0;0.0;0.0;28.5;5349.77;5.22;71.41;13404.98;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:05:10;8.0;92.0;4.0;3.0;(0.21142578125, 0.751953125, 0.6943359375);64.3;2468.66;2.41;35.66;1368.32;1.34;0.0;0.0;0.0;28.5;5349.85;5.22;71.41;13404.9;13.09;0.09;0.0
bucketraw-py;2025-10-19 16:05:22;1.0;99.0;1.0;0.0;(0.1787109375, 0.7265625, 0.6865234375);64.4;2469.92;2.41;35.63;1367.06;1.34;0.0;0.0;0.0;28.5;5349.92;5.22;71.41;13404.83;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:05:34;8.0;92.0;4.0;2.0;(0.341796875, 0.7392578125, 0.69140625);64.4;2470.59;2.41;35.61;1366.39;1.33;0.0;0.0;0.0;28.5;5349.99;5.22;71.41;13404.76;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:05:47;1.0;99.0;0.0;0.0;(0.28857421875, 0.71435546875, 0.68359375);64.8;2485.27;2.43;35.23;1351.71;1.32;0.0;0.0;0.0;28.5;5350.06;5.22;71.41;13404.69;13.09;0.05;0.0
bucketraw-py;2025-10-19 16:05:59;1.0;99.0;0.0;0.0;(0.22412109375, 0.6787109375, 0.671875);64.9;2488.36;2.43;35.15;1348.62;1.32;0.0;0.0;0.0;28.5;5350.12;5.22;71.41;13404.62;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:06:12;1.0;99.0;1.0;0.0;(0.189453125, 0.65576171875, 0.6640625);64.9;2490.93;2.43;35.08;1346.05;1.31;0.0;0.0;0.0;28.5;5350.19;5.22;71.41;13404.56;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:06:24;1.0;99.0;0.0;0.0;(0.146484375, 0.623046875, 0.65234375);65.0;2495.66;2.44;34.96;1341.32;1.31;0.0;0.0;0.0;28.5;5350.27;5.22;71.41;13404.48;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:06:37;0.0;100.0;0.0;0.0;(0.123046875, 0.60205078125, 0.64453125);64.9;2491.07;2.43;35.08;1345.9;1.31;0.0;0.0;0.0;28.5;5350.33;5.22;71.41;13404.42;13.09;0.15;0.0
bucketraw-py;2025-10-19 16:06:49;1.0;99.0;0.0;0.0;(0.09521484375, 0.57177734375, 0.6328125);65.1;2496.74;2.44;34.93;1340.24;1.31;0.0;0.0;0.0;28.5;5350.4;5.23;71.41;13404.35;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:07:01;2.0;98.0;1.0;0.0;(0.080078125, 0.55224609375, 0.6259765625);65.0;2492.85;2.43;35.03;1344.12;1.31;0.0;0.0;0.0;28.5;5350.47;5.23;71.41;13404.28;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:07:14;0.0;100.0;0.0;0.0;(0.12939453125, 0.541015625, 0.62158203125);64.7;2481.62;2.42;35.32;1355.36;1.32;0.0;0.0;0.0;28.5;5350.54;5.23;71.41;13404.21;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:07:26;1.0;99.0;1.0;0.0;(0.18310546875, 0.53955078125, 0.62060546875);64.6;2478.68;2.42;35.4;1358.29;1.33;0.0;0.0;0.0;28.5;5350.61;5.23;71.41;13404.14;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:07:38;1.0;99.0;1.0;0.0;(0.154296875, 0.52099609375, 0.61376953125);64.3;2467.03;2.41;35.7;1369.95;1.34;0.0;0.0;0.0;28.5;5350.68;5.23;71.41;13404.07;13.09;0.02;0.0
bucketraw-py;2025-10-19 16:07:51;0.0;100.0;0.0;0.0;(0.119140625, 0.49462890625, 0.603515625);64.6;2477.56;2.42;35.43;1359.41;1.33;0.0;0.0;0.0;28.5;5350.75;5.23;71.41;13404.0;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:08:03;1.0;99.0;1.0;0.0;(0.1005859375, 0.47802734375, 0.5966796875);64.5;2476.07;2.42;35.47;1360.91;1.33;0.0;0.0;0.0;28.5;5350.82;5.23;71.41;13403.93;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:08:16;0.0;100.0;0.0;0.0;(0.1513671875, 0.470703125, 0.59228515625);64.3;2465.55;2.41;35.74;1371.43;1.34;0.0;0.0;0.0;28.5;5350.89;5.23;71.41;13403.86;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:08:28;1.0;99.0;0.0;1.0;(0.1279296875, 0.45458984375, 0.58544921875);64.5;2476.01;2.42;35.47;1360.96;1.33;0.0;0.0;0.0;28.5;5350.95;5.23;71.41;13403.8;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:08:40;1.0;99.0;0.0;0.0;(0.16748046875, 0.4482421875, 0.5810546875);64.7;2482.02;2.42;35.31;1354.96;1.32;0.0;0.0;0.0;28.5;5351.02;5.23;71.41;13403.73;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:08:53;1.0;99.0;0.0;0.0;(0.14111328125, 0.43310546875, 0.57421875);64.6;2476.92;2.42;35.45;1360.05;1.33;0.0;0.0;0.0;28.5;5351.09;5.23;71.41;13403.66;13.09;0.02;0.0
bucketraw-py;2025-10-19 16:09:05;8.9;91.1;5.0;3.0;(0.18310546875, 0.42822265625, 0.56982421875);64.3;2468.55;2.41;35.66;1368.43;1.34;0.0;0.0;0.0;28.5;5351.16;5.23;71.41;13403.59;13.09;0.08;0.0
bucketraw-py;2025-10-19 16:09:18;1.0;99.0;0.0;0.0;(0.30224609375, 0.44677734375, 0.57421875);64.6;2476.88;2.42;35.45;1360.1;1.33;0.0;0.0;0.0;28.5;5351.23;5.23;71.41;13403.52;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:09:30;0.0;100.0;0.0;0.0;(0.23486328125, 0.42431640625, 0.56396484375);64.7;2483.92;2.43;35.26;1353.05;1.32;0.0;0.0;0.0;28.5;5351.3;5.23;71.41;13403.45;13.09;0.02;0.0
bucketraw-py;2025-10-19 16:09:42;1.0;99.0;0.0;0.0;(0.1982421875, 0.40966796875, 0.55712890625);64.9;2491.6;2.43;35.06;1345.38;1.31;0.0;0.0;0.0;28.5;5351.37;5.23;71.41;13403.38;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:09:55;0.0;100.0;0.0;0.0;(0.2216796875, 0.4052734375, 0.552734375);64.8;2487.32;2.43;35.17;1349.65;1.32;0.0;0.0;0.0;28.5;5351.43;5.23;71.41;13403.32;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:10:08;3.0;97.0;1.0;1.0;(0.18701171875, 0.3916015625, 0.5458984375);64.4;2469.9;2.41;35.63;1367.07;1.34;0.0;0.0;0.0;28.5;5351.51;5.23;71.4;13403.24;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:10:20;1.0;99.0;0.0;0.0;(0.212890625, 0.38818359375, 0.5419921875);64.7;2483.18;2.42;35.28;1353.8;1.32;0.0;0.0;0.0;28.5;5351.58;5.23;71.4;13403.17;13.09;0.0;0.0
bucketraw-py;2025-10-19 16:10:33;1.0;99.0;0.0;0.0;(0.4013671875, 0.42431640625, 0.55224609375);65.1;2498.88;2.44;34.87;1338.1;1.31;0.0;0.0;0.0;28.5;5351.65;5.23;71.4;13403.1;13.09;0.0;0.0
