identificacao_container;timestamp;cpu_container;throughput_container;ram_container;throttled_time_container;tps_container
mc-server-1;2025-11-10 19:26:47;13.46;1.45;97.26;0.0;20.0
mc-server-2;2025-11-10 19:26:47;6.77;3.8;100.0;0.0;20.0
mc-server-3;2025-11-10 19:26:47;4.38;1.73;99.86;0.0;20.0
mc-server-1;2025-11-10 19:28:59;11.63;8.8;98.95;0.0;20.0
mc-server-2;2025-11-10 19:28:59;10.37;2.77;99.8;0.0;20.0
mc-server-3;2025-11-10 19:28:59;11.33;19.16;99.9;0.0;18.92
mc-server-1;2025-11-10 19:29:59;11.46;8.75;99.81;0.0;20.0
mc-server-2;2025-11-10 19:29:59;11.59;13.01;99.95;0.0;20.0
mc-server-3;2025-11-10 19:29:59;12.16;4.59;99.87;0.0;20.0
mc-server-1;2025-11-10 19:32:16;13.24;0.0;99.99;0.0;20.0
mc-server-2;2025-11-10 19:32:16;6.2;4.75;99.87;0.0;20.0
mc-server-3;2025-11-10 19:32:16;3.9;11.5;99.88;0.0;20.0
mc-server-1;2025-11-10 19:32:44;5.0;7.91;99.87;0.0;20.0
mc-server-2;2025-11-10 19:32:44;8.17;19.67;99.88;0.0;20.0
mc-server-3;2025-11-10 19:32:44;4.59;10.31;99.72;0.0;20.0
mc-server-1;2025-11-10 19:33:16;1.66;5.57;99.92;0.0;20.0
mc-server-2;2025-11-10 19:33:16;1.92;1.43;99.72;0.0;20.0
mc-server-3;2025-11-10 19:33:16;2.41;7.95;99.97;0.0;12.52
mc-server-1;2025-11-10 19:33:44;9.57;9.98;99.98;0.0;20.0
mc-server-2;2025-11-10 19:33:44;9.63;15.8;100.0;0.0;20.0
mc-server-3;2025-11-10 19:33:44;0.05;0.0;99.65;0.0;12.52
mc-server-1;2025-11-10 19:34:12;10.14;25.02;99.98;0.0;20.0
mc-server-2;2025-11-10 19:34:12;0.06;0.0;99.62;0.0;20.0
mc-server-3;2025-11-10 19:34:12;0.05;0.0;99.66;0.0;20.0
mc-server-1;2025-11-10 19:34:36;0.06;0.0;99.54;0.0;20.0
mc-server-2;2025-11-10 19:34:36;0.42;0.34;99.55;0.0;20.0
mc-server-3;2025-11-10 19:34:36;0.07;0.0;99.51;0.0;20.0
mc-server-1;2025-11-10 19:35:00;1.87;0.27;99.59;0.0;20.0
mc-server-2;2025-11-10 19:35:00;2.03;1.45;99.75;0.0;20.0
mc-server-3;2025-11-10 19:35:00;0.05;0.0;99.44;0.0;20.0
mc-server-1;2025-11-10 19:35:26;0.06;0.01;99.64;0.0;20.0
mc-server-2;2025-11-10 19:35:26;1.59;1.91;99.78;0.0;20.0
mc-server-3;2025-11-10 19:35:26;1.96;0.16;99.69;0.0;20.0
mc-server-1;2025-11-10 19:35:50;1.62;5.34;99.75;0.0;20.0
mc-server-2;2025-11-10 19:35:50;0.99;1.86;99.76;0.0;20.0
mc-server-3;2025-11-10 19:35:50;0.53;0.0;99.45;0.0;20.0 
mc-server-1;2025-11-10 19:36:13;1.83;2.02;99.77;0.0;20.0
mc-server-2;2025-11-10 19:36:13;0.06;0.0;99.52;0.0;20.0
mc-server-3;2025-11-10 19:36:13;0.62;0.0;99.48;0.0;20.0
mc-server-1;2025-11-10 19:36:36;0.06;0.0;99.61;0.0;20.0
mc-server-2;2025-11-10 19:36:36;0.05;0.0;99.57;0.0;20.0
mc-server-3;2025-11-10 19:36:36;1.7;0.1;99.67;0.0;20.0
mc-server-1;2025-11-10 19:37:01;1.3;2.35;99.76;0.0;20.0
mc-server-2;2025-11-10 19:37:01;1.58;1.31;99.62;0.0;20.0
mc-server-3;2025-11-10 19:37:01;0.06;0.0;99.49;0.0;20.0
mc-server-1;2025-11-10 19:37:24;4.18;2.3;99.74;0.0;20.0
mc-server-2;2025-11-10 19:37:24;0.06;0.01;99.39;0.0;20.0
mc-server-3;2025-11-10 19:37:24;1.1;0.0;99.64;0.0;20.0
mc-server-1;2025-11-10 19:37:47;0.28;0.1;99.6;0.0;20.0
mc-server-2;2025-11-10 19:37:47;1.08;0.0;99.61;0.0;20.0
mc-server-3;2025-11-10 19:37:47;2.13;0.07;99.64;0.0;20.0
mc-server-1;2025-11-10 19:38:10;2.74;2.95;99.76;0.0;20.0
mc-server-2;2025-11-10 19:38:10;1.49;0.3;99.57;0.0;20.0
mc-server-3;2025-11-10 19:38:10;0.06;0.02;99.65;0.0;20.0
mc-server-1;2025-11-10 19:38:34;4.71;13.13;99.98;0.0;20.0
mc-server-2;2025-11-10 19:38:34;3.13;0.17;99.74;0.0;20.0
mc-server-3;2025-11-10 19:38:34;6.1;8.52;99.94;0.0;20.0
mc-server-1;2025-11-10 19:38:58;5.76;5.88;99.81;0.0;20.0
mc-server-2;2025-11-10 19:38:58;2.47;0.14;99.64;0.0;20.0
mc-server-3;2025-11-10 19:38:58;3.23;2.7;99.73;0.0;20.0
mc-server-1;2025-11-10 19:39:23;3.33;1.59;99.7;0.0;20.0
mc-server-2;2025-11-10 19:39:23;5.71;0.74;99.71;0.0;20.0
mc-server-3;2025-11-10 19:39:23;3.2;1.67;99.73;0.0;20.0
mc-server-1;2025-11-10 19:39:49;2.3;0.97;99.69;0.0;20.0
mc-server-2;2025-11-10 19:39:49;2.87;3.58;99.74;0.0;20.0
mc-server-3;2025-11-10 19:39:49;0.05;0.02;99.72;0.0;20.0
mc-server-1;2025-11-10 19:40:14;4.73;1.41;99.77;0.0;20.0
mc-server-2;2025-11-10 19:40:14;2.39;5.57;99.97;0.0;20.0
mc-server-3;2025-11-10 19:40:14;12.17;2.02;99.8;0.0;20.0
mc-server-1;2025-11-10 19:41:49;0.35;0.52;99.49;0.0;20.0
mc-server-2;2025-11-10 19:41:49;0.06;0.01;99.45;0.0;20.0
mc-server-3;2025-11-10 19:41:49;0.06;0.0;99.52;0.0;20.0
